v1,v2,v3,v4,v5,v5a_1,v5a_2,v5a_3,v6,v7,v8,v9,v10_1,v10_2,v10_3,v11_1,v11_2,v11_3,v11_4,v11_5,v11_6,v11_7,v11_8,v12,v13,v14,v15_1,v15_2,v16_1,v16_2,v17,v18,v18a_1,v18a_2,v18a_3,v19_1,v19_2,v19_3,v19_4,v19_5,v20_1,v20_2,v20_3,v21_1,v21_2,v21_3,v22,v22a_1,v22a_2,v22a_3,v23,v24,v24a_1,v24a_2,v24a_3,v25,v26,v26a_1,v26a_2,v26a_3,v27,v28,v28a_1,v28a_2,v28a_3,v29,v30,v30a_1,v30a_2,v30a_3,v32,v32a_1,v32a_2,v32a_3,v33,v34,v34a_1,v34a_2,v34a_3,v35,v36,v36a_1,v36a_2,v36a_3,v37,v38,v38a_1,v38a_2,v38a_3,v39,v40,v41,v42,v43,v44,v45,v46,v47,wei1,wei2
4,260,25,5,3,6,7,99,3,2,99,98,95,99,99,2,8,99,99,99,99,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,6,99,99,9,9,99,99,99,1,2,9,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,1,2,6,3,99,2,1,9,8,8,5,5,2,2,.8494,.5786
17,928,98,5,2,99,99,99,4,2,99,5,6,3,13,2,5,8,99,99,99,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,3,4,99,9,9,99,99,99,1,2,3,99,99,9,9,99,99,99,9,9,99,99,99,2,3,4,99,9,9,99,99,99,9,9,99,99,99,1,2,3,4,96,2,1,9,1,8,1,6,1,1,1.2706,1.6644
17,900,47,1,4,96,99,99,4,2,99,10,6,99,99,2,8,99,99,99,99,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,2,13,99,9,9,99,99,99,1,2,97,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,2,2,97,99,99,2,2,1,2,1,1,3,3,2,.9975,1.3066
12,646,47,1,2,99,99,99,1,1,10,99,5,99,99,2,5,8,99,99,99,99,99,1,2,1,1,2,2,9,1,1,99,99,99,1,9,9,9,9,6,99,99,1,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,1,9,1,2,1,4,1,2,.8415,.9501
13,604,21,6,1,99,99,99,1,2,99,7,2,3,99,1,2,4,99,99,99,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,97,99,99,2,2,97,99,99,2,2,97,99,99,9,9,99,99,99,2,2,97,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,2,1,9,1,8,8,3,2,2,1.5155,1.3332
10,528,26,5,2,99,99,99,2,2,99,7,4,99,99,1,2,7,99,99,99,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,97,99,99,2,2,97,99,99,2,2,97,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,2,2,97,99,99,9,9,99,99,99,2,1,9,8,8,1,1,1,1,1.057,1.959
18,880,41,2,1,99,99,99,2,2,99,10,4,96,99,1,2,3,4,8,99,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,15,99,99,2,8,99,99,99,1,2,15,99,99,1,2,15,99,99,2,2,98,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,1,2,15,99,99,2,1,9,2,1,3,3,1,2,1.0777,.1678
4,265,40,2,2,99,99,99,2,1,6,99,8,1,99,2,3,5,6,8,99,99,99,1,2,1,1,9,2,9,1,2,1,99,99,9,9,9,9,9,99,99,99,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,2,2,1,1,1,5,1,2,.8621,.5873
12,640,45,1,2,99,99,99,2,2,99,10,3,9,99,1,2,3,5,6,8,99,99,1,2,1,1,9,2,9,1,1,99,99,99,1,9,9,9,9,9,1,99,1,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,1,9,2,1,1,4,1,2,.8415,.9501
13,616,29,4,2,99,99,99,2,2,99,5,3,99,99,1,2,3,4,5,6,8,99,1,2,1,1,9,2,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,98,99,99,1,2,97,99,99,1,2,97,99,99,1,2,97,99,99,1,2,97,99,99,2,97,99,99,1,2,97,99,99,9,9,99,99,99,1,2,97,99,99,2,1,9,1,1,2,5,1,1,.8528,.7502
