v1,v2,v3,v4,v5,v5a_1,v5a_2,v5a_3,v6,v7,v8,v9,v10_1,v10_2,v10_3,v11_1,v11_2,v11_3,v11_4,v11_5,v11_6,v11_7,v11_8,v12,v13,v14,v15_1,v15_2,v16_1,v16_2,v17,v18,v18a_1,v18a_2,v18a_3,v19_1,v19_2,v19_3,v19_4,v19_5,v20_1,v20_2,v20_3,v21_1,v21_2,v21_3,v22,v22a_1,v22a_2,v22a_3,v23,v24,v24a_1,v24a_2,v24a_3,v25,v26,v26a_1,v26a_2,v26a_3,v27,v28,v28a_1,v28a_2,v28a_3,v29,v30,v30a_1,v30a_2,v30a_3,v32,v32a_1,v32a_2,v32a_3,v33,v34,v34a_1,v34a_2,v34a_3,v35,v36,v36a_1,v36a_2,v36a_3,v37,v38,v38a_1,v38a_2,v38a_3,v39,v40,v41,v42,v43,v44,v45,v46,v47,wei1,wei2
4,263,40,2,1,99,99,99,1,1,10,99,6,16,99,2,3,5,6,7,8,99,99,1,2,1,1,9,2,9,1,1,99,99,99,1,9,9,9,9,6,99,99,95,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,1,9,2,1,2,4,1,1,.9525,.6488
13,608,37,3,3,96,99,99,3,2,99,8,95,99,99,2,8,99,99,99,99,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,7,2,99,9,9,99,99,99,1,2,97,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,2,2,9,99,99,2,1,9,2,1,1,3,1,1,.941,.8278
12,636,35,3,2,99,99,99,1,2,99,7,6,99,99,1,2,6,7,8,99,99,99,1,2,1,3,9,1,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,97,99,99,1,2,2,99,99,1,2,7,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,1,2,2,7,99,1,2,2,99,99,1,2,2,99,99,1,1,9,1,8,3,1,2,1,1.2502,1.4115
4,260,98,3,3,7,99,99,2,2,99,98,5,7,6,1,2,3,5,8,99,99,99,1,1,1,1,2,2,9,1,1,99,99,99,2,9,9,9,9,6,99,99,95,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,1,9,1,1,5,5,2,2,.9744,.6638
17,900,30,4,4,96,7,99,1,2,99,3,6,14,3,1,2,3,5,6,8,99,99,1,1,1,1,2,2,9,1,1,99,99,99,1,2,3,9,9,14,1,13,3,2,4,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,1,9,1,8,1,7,1,1,.8061,1.0559
12,637,31,4,2,99,99,99,2,2,99,95,8,9,99,2,4,5,8,99,99,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,6,99,99,9,9,99,99,99,2,2,6,96,99,9,9,99,99,99,2,2,97,99,99,2,97,99,99,9,9,99,99,99,9,9,99,99,99,2,2,97,99,99,2,1,9,8,8,4,1,2,2,.9593,1.083
17,904,98,1,4,96,99,99,4,2,99,8,5,99,99,1,2,3,8,99,99,99,99,1,2,1,1,9,2,9,1,1,99,99,99,1,9,9,9,9,10,99,99,95,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,1,9,2,1,1,4,1,1,1.0841,1.4201
4,268,41,2,1,99,99,99,1,2,99,98,3,99,99,1,2,3,5,6,8,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,14,99,99,1,2,14,99,99,1,2,4,99,99,1,2,4,99,99,9,9,99,99,99,2,4,99,99,1,2,4,99,99,9,9,99,99,99,1,2,4,99,99,2,1,9,2,1,1,4,1,1,.9525,.6488
10,510,98,1,8,99,99,99,8,1,2,99,12,2,6,1,2,3,5,8,99,99,99,1,2,1,1,2,2,9,1,1,99,99,99,3,1,9,9,9,1,6,99,3,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,2,2,1,1,2,7,1,1,1.0947,2.0289
10,510,44,1,2,99,99,99,4,2,99,95,4,99,99,2,3,5,99,99,99,99,99,1,2,1,1,2,2,9,1,1,99,99,99,1,2,3,9,9,13,17,19,10,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,1,9,1,1,1,5,2,1,1.0947,2.0289
13,614,44,1,2,99,99,99,2,1,7,99,2,99,99,1,2,3,8,99,99,99,99,1,1,2,3,9,1,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,3,2,99,1,2,7,2,99,1,2,3,2,99,1,2,3,7,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,1,2,4,3,99,2,2,1,1,1,1,1,1,2,1.1462,1.0083
4,261,31,4,4,7,6,99,4,2,99,3,3,99,99,2,3,5,6,8,99,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,7,99,99,9,9,99,99,99,1,2,7,99,99,1,2,7,99,99,9,9,99,99,99,2,9,99,99,2,2,7,99,99,9,9,99,99,99,1,2,7,99,99,2,1,9,8,8,4,5,2,1,1.0524,.7169
12,640,46,1,3,98,99,99,1,1,10,99,95,99,99,2,8,99,99,99,99,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,2,3,99,9,9,99,99,99,1,2,9,4,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,1,2,3,99,99,2,1,9,1,1,1,1,1,2,.8415,.9501
17,912,40,2,2,99,99,99,2,2,99,5,4,99,99,1,8,99,99,99,99,99,99,1,2,2,1,2,2,9,1,1,99,99,99,1,9,9,9,9,11,9,1,98,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,1,9,1,1,4,5,1,2,.9025,1.1822
12,638,98,5,4,5,2,99,4,2,99,7,6,99,99,2,8,99,99,99,99,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,97,99,99,9,9,99,99,99,2,2,97,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,2,2,97,99,99,2,2,2,2,8,7,1,2,2,1.2021,1.3572
4,264,34,3,4,5,99,99,8,2,99,7,95,99,99,2,3,5,8,99,99,99,99,1,2,1,3,9,1,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,1,99,99,99,9,9,99,99,99,1,1,99,99,99,2,2,97,99,99,9,9,99,99,99,2,7,99,99,9,9,99,99,99,9,9,99,99,99,2,1,99,99,99,2,1,9,2,8,6,3,2,2,.9744,.6638
18,884,37,3,1,99,99,99,2,1,7,99,6,99,99,1,2,3,4,8,99,99,99,1,2,1,3,9,1,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,1,99,99,99,1,1,99,99,99,1,1,99,99,99,1,2,10,99,99,1,1,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,2,2,9,99,99,2,1,9,2,2,4,3,1,1,.7629,.1188
10,524,45,1,2,99,99,99,2,1,7,99,95,99,99,1,2,5,8,99,99,99,99,1,2,1,1,9,1,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,3,6,99,1,2,3,99,99,1,2,7,99,99,9,9,99,99,99,9,9,99,99,99,2,97,99,99,9,9,99,99,99,9,9,99,99,99,1,2,7,99,99,2,2,2,1,1,1,3,1,1,1.0947,2.0289
12,654,98,4,5,5,99,99,5,2,99,7,95,99,99,9,99,99,99,99,99,99,99,2,9,9,9,9,9,9,2,9,99,99,99,9,9,9,9,9,99,99,99,99,99,99,2,7,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,2,2,2,2,8,95,1,1,2,.9593,1.083
12,638,40,2,1,99,99,99,1,1,4,99,3,12,99,1,5,99,99,99,99,99,99,1,1,1,3,9,2,9,1,1,99,99,99,1,9,9,9,9,9,99,99,1,4,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,9,99,99,99,9,1,9,2,1,1,3,1,2,.7768,.877
